Course Number,Course Name,Credit Hour,Active
1001,Fr Compu & Info Sci Elec,3,TRUE
1038,Honors Orientation Seminar,3,FALSE
1100,USING INFORMATION TECH,3,TRUE
1101,Intro To Spreadsheets,1,FALSE
1102,Intro Database Applications,1,FALSE
1105,Computer Appl and Music,1,FALSE
1200,ADVENTURES IN COMPUTING,3,FALSE
1250,INTRO COMPUTER SCI I,4,TRUE
1260,INTRO COMPUTER SCI II,4,TRUE
1270,BUSINESS-ORIENTED PROGRAMMING,4,FALSE
1400,PC SETUP AND MAINTENANCE,1,TRUE
1510,STUDENT IN UNIVERSITY,3,TRUE
1710,ESSENTIALS OF WEB DEVLPMNT,3,TRUE
1720,WORLD WIDE WEB-ADVANCED,3,TRUE
1800,VISUAL PROGRAMMING I,3,FALSE
1900,MATH FOR COMPUTER SCIENCE,3,TRUE
2002,So Compu & Info Sci Elec,3,TRUE
2020,DATABASE FUNDAMENTALS,3,TRUE
2038,Honors Professional Ethics,3,FALSE
2042,Comp Sci of Science Fict,3,FALSE
2100,INTRODUCTION TO C,3,FALSE
2150,COMPUTER ORGANIZATION,3,TRUE
2160,ASSEMBLY LANGUAG,4,TRUE
2200,Unix Fundamentals,3,TRUE
2210,DATA STRUCTURES,4,TRUE
2230,File Processing,3,FALSE
2235,INTRODUCTION TO UNIX,1,FALSE
2300,Essent Of Info Security,3,FALSE
2800,VISUAL PROGRAMMING - ADVANCED CONCEPTS,3,FALSE
2910,SERVER-SIDE WEB PROG,4,TRUE
2989,Cooperative Educ,3,FALSE
2999,Cooperative Educ,3,FALSE
3003,Jr Compu & Info Sci Elec,3,TRUE
3020,DATABASE ADVANCED TOPICS,3,TRUE
3048,HONORS METHODS OF RESEARCH,3,TRUE
3110,ADVANCE TOPICS IN WEBDESIGN AND,3,TRUE
3220,Intro Database,3,FALSE
3222,Intro To Database Systems,3,FALSE
3230,ALGORITHMS,4,TRUE
3250,SFTWARE ENGINEER I,3,TRUE
3350,SOFTWARE ENGINEERING II,3,TRUE
3400,NETWORKING FUNDAMENTALS,3,TRUE
3500,INFORMATION SECURITY AND ASSURANCE,3,TRUE
3700,MANGEMENT INFORMATION SYSTEMS,3,TRUE
3720,FUNDAMENTALS OF BUSINESS INFORMATION SYSTEMS,3,TRUE
3800,Visual Progrmming,3,FALSE
3989,Internship/Cooperative Educ,3,FALSE
3999,Internship/Cooperative Educ,3,FALSE
4001,Cascading Style Shhets,3,FALSE
4002,Mobile Web Design,3,FALSE
4004,Sr Compu & Info Sci Elec,3,TRUE
4017,Introduction to Info Assurance,3,FALSE
4018,SENIOR HONORS THESIS,3,TRUE
4027,Infor Management,3,FALSE
4048,Honors International Study,3,FALSE
4057,Adv Intnet Technologies,3,FALSE
4067,Networking Essentials,3,FALSE
4097,Emerging Technologies,3,FALSE
4127,Databse Advanced Topics,3,FALSE
4157,INTERACTIVE GRAPHICS,3,TRUE
4217,Ethical Issues Computing,3,FALSE
4227,DATABASE ADMINISTRATION,3,FALSE
4317,LAW AND THE INTERNET,3,TRUE
4417,INTRO TO SYSTEM ADMINISTRATION,3,TRUE
4507,COMPUTER FORENSICS,3,TRUE
4517,Essen Mult-Media,3,FALSE
4527,Comp Authoring,3,FALSE
4537,ETHICAL HACKING,3,TRUE
4617,XML,3,FALSE
4717,COMPUTER ARCHITECTURE,3,TRUE
4727,OPERATING SYSTEM,3,TRUE
4757,INFORMATION SYSTEMS IMPLEMENTATION,3,TRUE
4767,ENTERPRISE PROGRAMMING,3,TRUE
4770,IS STRATEGY AND MANAGEMENT,3,TRUE
4800,SENIOR PROJECT,3,TRUE
4857,User INTERFACE PROGRAMMING,3,FALSE
4900,INDEPENDENT STUDY,3,TRUE
4905,INTERNSHIP,3,FALSE
4910,SELECT TOP C SCI,3,TRUE
4927,HUMAN COMPUTER INTERACT,3,TRUE
4957,SP TOP COMP SCI,3,TRUE
4967,SP TOP COMP SCI,3,TRUE
4989,INTERNSHIP/COOPERATIVE EDUCATION,3,TRUE
4999,INTERNSHIP/COOPERATIVE EDUCATION,3,TRUE
5011,INTERNET TECHNOLOGY I,3,TRUE
5012,Internet TECHNOLOGY II,3,TRUE
5017,Introduction to Info Assurance,3,TRUE
5019,Supervised Teaching,1,TRUE
5027,Infor Management,3,TRUE
5029,Supervised Research,1,TRUE
5039,Supervised Admin,1,TRUE
5057,Adv Intnet Technologies,3,TRUE
5067,Networking Essentials,3,TRUE
5097,Emerging Technologies,3,TRUE
5100,COMPUTER ARCHITECT:Adv,3,TRUE
5127,Databse Advanced Topics,3,TRUE
5150,Distributed Systems,3,TRUE
5157,INTERACTIVE GRAPHICS,3,TRUE
5200,SOFTWARE SYSTEMS ENGINEERING,3,TRUE
5210,Spec Soft Systems,3,TRUE
5217,ETHICAL ISSUES IN COMPUTING,3,TRUE
5220,SOFTWARE VERIFICATION AND VALIDATION,3,TRUE
5227,DATABASE ADMINISTRATION,3,TRUE
5230,SOFTWARE PROJECT MANAGEMENT,3,TRUE
5250,DATABASE DESIGN,3,TRUE
5260,Applications of Artificial Intelligence,3,TRUE
5300,SOFTWARE DESIGN,3,TRUE
5317,INTERNET AND COMPUTER LAW,3,TRUE
5360,TOPICS IN NETWORK AND SYSTEM ADMINISTRATION,3,TRUE
5410,ADVANCED NEWORKING TECHNIQUES,3,TRUE
5417,INTRODUCTION TO SYSTEM ADMINSTRATION,3,TRUE
5460,NETWORK AND INFORMATION SECURITY,3,TRUE
5507,COMPUTER FORENSICS,3,TRUE
5517,ESSENTIALS OF MULTIMEDIA,3,TRUE
5520,RESEARCH METHOD IN COMPUTER SCIENCE,3,TRUE
5527,COMPUTER AUTHORING,3,TRUE
5537,ETHICAL HACKING,3,TRUE
5550,DIRECTED RESEARCH 1,3,TRUE
5551,DIRECTED RESEARCH 2,3,TRUE
5610,FORMAL LANGUAGES AND COMPUTATIONAL COMPLEXITY,3,TRUE
5617,XML,3,TRUE
5620,ANALYSIS OF ALGORITHMS,3,TRUE
5710,E-COMMERCE IMPLEMENTATION,3,TRUE
5717,COMPUTER ARCHITECTURE,3,TRUE
5727,OPERATING SYSTEM,3,TRUE
5730,ENTERPRISE INFORMATION SYSTEMS,3,TRUE
5757,INFORMAITON SYSTEMS IMPLEMENTATION,3,TRUE
5767,ENTERPRISE PROGRAMMING,3,TRUE
5857,USER INTERFACE PROGRAMMING,3,TRUE
5900,INDEPENDENT STUDY,3,TRUE
5905,INTERNSHIP,3,TRUE
5910,SOFTWARE DEVELOPMENT PROJECT 1,3,TRUE
5920,SOFTWARE DEVELOPMENT PROJECT 2,3,TRUE
5927,HUMAN COMPUTER INTERACTION,3,TRUE
5930,SOFTWARE DEVELOPMENT PROJECT 3,3,TRUE
5957,SPECIAL TOPICS IN COMPUTER SCIENCE,3,TRUE
5960,THESIS IN COMPUTER AND INFORMATION SCIENCES,3,TRUE
5967,Sp TOP COMP SCI,3,TRUE
5989,INTERNSHIP/COOPERATIVE EDUCATION,3,TRUE
5990,READINGS AND RESEARCH,3,TRUE
5999,INTERNSHIP/COOPERATIVE EDUCATION,3,TRUE